Time	Time	Annotation	Layer
0:03		Irving Layton: Testing, testing. Sandra Djwa: Let’s sort of see…. IL: So this will go on for, what, an hour and a half? SD: About an hour and a quarter to an hour and a half. Now, if anybody goes over their ten minutes and they get dangerously close to twelve, I’ll pull them from behind. IL: Right SD: Okay? IL: Yeah, stop us. Stop us in the middle of a sentence. Dorothy Livesay: How will you do it? SD: I’ll pull you from behind, I’ll tweak you. DL: Tweak my tail! SD: I’ll tweak your tail! SD: Okay.	dialogue
0:45		SD: I wonder if we could have your attention.The subject of tonight’s symposium is “Poetry of the Thirties and Forties”. The poetry that really laid the foundation, in fact started modern poetry, and laid the foundation for the contemporary.	Djwa
1:04		We’re fortunate tonight in having here with us some of the major poets from this period. Dorothy Livesay, who began writing in Ontario in the late 20s, Anne Marriott, whose major poem was written in B.C. In 1939, “The Wind Our Enemy,” and Irving Layton who began to write in Montreal in the early 40s.	Djwa
1:29		We’re happy to have Anne here substituting for P. K. Page, who wasn’t able to come. And we very much regret that F. R. Scott has been ill, and is not able to be with us.	Djwa
1:43		Our format this evening will consist of a brief introduction to each of the three poets, followed by an overview of their particular period by each of the poets. We will then move onto a general discussion with the panel, and after that we will throw the meeting open for questions.	Djwa
2:06		Now, I’d like to begin, perhaps, by invoking F. R. Scott in spirit, since he can’t be here in person. Because it was Scott’s satirical verse, “The Canadian Authors Meet,” written in 1927, which really sketches out the kind of poetry that most of our three panelists were reacting against.	Djwa
2:27		This was the poem entitled “The Canadian Authors Meet” and it was written at the Ritz Carleton Hotel one night in 1927 while Scott, sitting at the back of the room, watched A. J. M. Smith go up to the front of the room to get two prizes for two sonnets, which he had submitted pseudonymously. The poem that Scott wrote is this:	Djwa
2:54		SD recites poem “The Canadian Authors Meet” by F. R. Scott.	Djwa
3:53		SD: Well, Scott was parodying the kind of poetry that he didn’t care for.	Djwa
4:00		Dorothy Livesay who is going to begin tonight’s symposium will be telling us something about the Miss Crotchets, the lady poets of the 20s, who preceded her.	Djwa
4:11		More importantly, she will be telling us about another strain of poetry - an important imagist line that began with Raymond Knister that carried on through W. W. E Ross, and also she will be talking about, briefly, the poetry of Louise Morey Bowman.	Djwa
4:30		SD: Dorothy knows the world of the woman artist firsthand, because her mother, Florence Randal Livesay was a well-known poet of the 20s. Her father, J. F. B. Livesay was for some time a head of Canadian Press.	Djwa
4:45		Dorothy’s first book of poetry, Green Pitcher was published in 1928. It differs from the earlier verse—much of the earlier verse of the 20s—in that you will find here an original voice which draws on the new imagist movement for its form.	Djwa
