Time	Time	Annotation	Layer
0:07		IL: … to the bitter end along with his wife Peggy, Frank Scott was never Communist. He was anti-communist, he was a socialist. And so was A. M. Klein. So there was this whole rethinking of and about the Soviet Union after the termination of World War II. And that, of course, has continued in my thinking and Louis’s thinking and of the thinking of other poets of the period.	Layton
0:32		SD: I wonder if I could add a point to the question, which was why was it that a lot of the writers for, I think it was Masses and New Frontier, were university people or had some sort of university education. I think I would like to make a generalization in response to that, and that is that socialism in Canada that resulted in the formation of the Cooperative Commonwealth Federation, the CCF, was basically Fabian socialism. And it was really brought in by a group of men—many of whom had been to Oxford—and who had absorbed Fabian socialism.	Djwa
1:12		And so we had a very large block of people in Canada who were Fabian socialists and who were university people. Because they picked up their socialism at university. And this was also the case, although to a lesser extent because there was a smaller number, with the communist supporters of the ‘30s.	Djwa
1:34		I think, Dee, you acquired your left—or a part of your left—at the Sorbonne and I think, Irving, didn’t some of your Marxism—didn’t you acquire it at McGill?	Djwa
1:46		Applause and audience laughter	audience
1:45		IL: Oh, Christ, no! No! I picked up my socialism in the slums of the streets of Montreal. Christ, no! SD: What can I say? More questions, please!	dialogue
2:00		DL: No, as the documentation in my book Right Hand, Left Hand shows, one thing you could never accuse the communists of was of not fighting the day-to-day struggles of the people in the streets, in the factories, on the unemployed line, in the mines and so on.	Livesay
2:19		They were the most active fighters for the unemployed and the down-and-outs it was because of that we joined with them—middle-class intellectuals—but also on New Frontier there were some of these same working people who never had been to university. I mean, it wasn’t just an intellectual group.	Livesay
2:39		AM: And Sandra, what about the farmers? I mean, after all Saskatchewan was the first CCF government and I mean my relatives there who were struggling not to go on relief when I stayed with them and I finally had to break down and go on it. You know, they were—my young cousins—I mean, they were the sort of people that got into the CCF and—SD: I think—I think that the rank-and-file…. AM: And they certainly never went to university. If they got through grade ten they were lucky…	dialogue
3:07		SD: The rank-and-file were certainly not university-trained, but the people who wrote the Regina Manifesto—the Underhills, the Cassidys, the Frank Scotts—they all had been to Oxford and they all got their Fabian Socialism there and Woodsworth, too, was a product of the British university system. He was a minister, but he got his Fabian socialism in England.	dialogue
